decision_id,timestamp,mint,trigger_type,side,predicted_fees_usd,predicted_impact_usd,tp_usd,follow_through_score,size_sol,size_usd,confidence,expected_ev_usd,success_probability,rank,wallet,wallet_tier,datetime
19,1761774419,e8ec1613215459ed2caf00a6c4829eaaba52b78936cbfb9b92910243a2a3a0ff,copy,0,0.2924,6.5933,1.0000,60,0.0154,3.0149,60,0.4737,0.0000,,9a9a0042eba237dda93b2fedcbedcb0ddc6367f5bf2e46a29bf6d342c72a6b22,0,2025-10-29 21:46:59
20,1761774513,1adfa03ffa83e5d03ec9949dd8fc61c8c9c224bce35ff3a757b639036b47ce2f,copy,0,0.3492,0.6267,1.0000,100,0.0250,4.9058,100,1.2641,0.0000,,bfe2530dbc31b49f7b75a9fa70aaa2d1e97f0dd6618240539bb3fccdb0cc9e27,0,2025-10-29 21:48:33
21,1761774547,06e412191f51f4765f74a662983e86e671c1f8043159878f373a2ce19c16c9bf,copy,0,0.3257,2.6325,1.0000,88,0.0210,4.1238,88,1.3174,0.0000,,86fb6148cb024cc309c42b22c34d7361e60da2ab116209f501924900ab516b73,0,2025-10-29 21:49:07
22,1761774727,f7c80777cadf71aa63f4b5eba1585e76cc8f5683cf89b76010da3003b68ec43f,copy,0,0.2939,3.0481,1.0000,61,0.0156,3.0648,61,1.0273,0.0000,,9a9a0042eba237dda93b2fedcbedcb0ddc6367f5bf2e46a29bf6d342c72a6b22,0,2025-10-29 21:52:07
23,1761774790,06e412191f51f4765f74a662983e86e671c1f8043159878f373a2ce19c16c9bf,copy,0,0.3328,1.3895,1.0000,94,0.0222,4.3614,94,1.2426,0.0000,,18c3f0de470beb3effade4a647fc33a3e22ed81667d2bf28924bbbebf575e14c,0,2025-10-29 21:53:10
24,1761774822,5e1cc179b09b6af8e680fd4faa311f519f2e0ac9e2a2528b2c7f60a5a473a3af,copy,0,0.2939,7.6338,1.0000,61,0.0156,3.0631,61,0.7631,0.0000,,9a9a0042eba237dda93b2fedcbedcb0ddc6367f5bf2e46a29bf6d342c72a6b22,0,2025-10-29 21:53:42
25,1761774989,2009a1457aa43133311ecb731a9111669953603d4d10a006829479c8656b2abf,copy,0,0.3045,3.9836,1.0000,70,0.0174,3.4165,70,1.2168,0.0000,,99127dc30064bfbfcf5d45956d50d55e040572563b0914cf165175eecd3f2549,0,2025-10-29 21:56:29
26,1761775036,8a79d1c7cf4ad771b50a45e0180b4231419560cfc991974e42681f8961a1b99f,copy,0,0.3232,2.7038,1.0000,85,0.0206,4.0399,85,1.3177,0.0000,,e478c4f5b8d4be2b75d79f48112e382aa7deb8c8e6cc791902437437161b9fbd,0,2025-10-29 21:57:16
27,1761775206,68e0a80af585aa7c488b7eff3b2f3e38d58dd6edcb0d7668ba1d47b06677ea4f,copy,0,0.3420,1.2409,1.0000,100,0.0238,4.6655,100,1.3158,0.0000,,86fb6148cb024cc309c42b22c34d7361e60da2ab116209f501924900ab516b73,0,2025-10-29 22:00:06
28,1761775557,2de4e96b0860cc21d2c4c20e03f980083edc09aecefc9d8d754021edd8a00faf,copy,0,0.3138,4.1064,1.0000,77,0.0190,3.7265,77,1.3186,0.0000,,979a17af11a4fa777585dcda108a51c90825c4947328090cf75bdf866ca26ed1,0,2025-10-29 22:05:57
